ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-04-08T00:00:00.000Z,5TDBRKEC1RS11O962,2024,Sienna LE,,False,Factory to port,42978,Ruby Flare Pearl [extra_cost_color],Gray Woven Fabric,181,AutoNation Toyota Weston,https://www.autonationtoyotaweston.com,True,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | LE Plus Package: | Mudguards | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum | Temporary Spare Tire
2024-04-15T00:00:00.000Z,5TDBRKEC2RS12M665,2024,Sienna LE,DealerHold,True,Factory to port,41605,Celestial Silver Metallic,Gray Woven Fabric,54,Toyota of Melbourne,https://www.toyotaofmelbourne.com,True,50 State Emissions | 6-Gallons of Gas | LE Plus Package: | Mudguards | SET Digital Portfolio | Temporary Spare Tire
Unknown,5TDBRKEC2RS185675,2024,Sienna LE,Available,False,At dealer,43032,Celestial Silver Metallic,Gray Woven Fabric,32,Miracle Toyota,https://www.miracletoyota.com,False,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Illuminated Door Sills | LE Plus Package: | PDS Show Cars | TOYOGUARD Platinum | Temporary Spare Tire
2024-04-22T00:00:00.000Z,5TDBRKEC7RS13M673,2024,Sienna LE,DealerHold,False,Factory to port,42304,Predawn Gray Mica,Gray Woven Fabric,112,Coggin Toyota at the Avenues,https://www.coggintoyota.com,False,50 State Emissions | 6-Gallons of Gas | LE Plus Package: | Mudguards | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire
2024-05-04T00:00:00.000Z,5TDBRKEC7RS14D314,2024,Sienna LE,DealerHold,False,Factory to port,42304,Celestial Silver Metallic,Gray Woven Fabric,209,West Kendall Toyota,https://www.westkendalltoyota.com,False,50 State Emissions | 6-Gallons of Gas | LE Plus Package: | Mudguards | Southeast Toyota Distributor | TOYOGUARD Platinum | Temporary Spare Tire
2024-03-26T00:00:00.000Z,5TDCSKFC2RS125516,2024,Sienna Woodland Edition,DealerHold,False,Factory to port,52359,Cement,Gray Flannel + Black Embossed Softex® [softex],72,Courtesy Toyota,https://www.courtesytoyota.com,False,50 State Emissions | 6-Gallons of Gas | Mudguards | Rear Seat Entertainment System- | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire | WOODLAND EDITION
2024-05-05T00:00:00.000Z,5TDDRKEC0RS14C823,2024,Sienna XSE,Available,False,Factory to port,51198,Ruby Flare Pearl [extra_cost_color],Gray Flannel + Black Embossed Softex® [softex],112,Coggin Toyota at the Avenues,https://www.coggintoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Clear Paint Protection - Full Hood Package | Cross Bars | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | SET Digital Portfolio | SPECIAL COLOR | SmartLED Ambient Lighting | TOYOGUARD Platinum | XSE Plus Package:
2024-05-04T00:00:00.000Z,5TDDRKEC1RS14D091,2024,Sienna XSE,,False,Factory to port,50534,Celestial Silver Metallic,Gray Flannel + Black Embossed Softex® [softex],123,Arlington Toyota,https://www.arlingtontoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Illuminated Door Sills | Mudguards | Paint Protection Film - Hood & Door Package | Phone Cable Charge Package | SET Digital Portfolio | SmartLED Ambient Lighting | TOYOGUARD Platinum | XSE Plus Package:
2024-04-28T00:00:00.000Z,5TDDRKEC2RS13L553,2024,Sienna XSE,Available,False,Factory to port,49663,Ruby Flare Pearl [extra_cost_color],Moonstone + Grey Embossed Softex® [softex],194,Toyota of North Miami,https://www.toyotaofnorthmiami.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Illuminated Door Sills | Mudguards | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum | XSE Plus Package:
2024-05-12T00:00:00.000Z,5TDDRKEC2RS15D838,2024,Sienna XSE,Available,False,Factory to port,50065,Cement,Moonstone + Grey Embossed Softex® [softex],73,Toyota of Tampa Bay,https://www.toyotaoftampabay.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Clear Paint Protection - Full Hood Package | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum | XSE Plus Package:
